id,movie,studio,days.in.theatres,daily.gross,gross.to.date,theatres,date,url
laika2014,The Boxtrolls,Focus,101,19973,50618671,132,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=laika2014.htm
johnwick,John Wick,LG/S,73,19203,42925323,127,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=johnwick.htm
citizenfour,Citizenfour,RTWC,73,18844,2263209,49,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=citizenfour.htm
homesman,The Homesman,Saban,52,13345,2272797,54,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=homesman.htm
islandoflemurs,Island of Lemurs: Madagascar (IMAX),WB,276,9296,8482629,40,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=islandoflemurs.htm
judge,The Judge,WB,87,8730,47063106,61,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=judge.htm
bestofme,The Best of Me,Rela.,80,5801,26739759,42,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=bestofme.htm
blackbird,Beyond the Lights,Rela.,52,3652,14564709,23,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=blackbird.htm
songofthesea,Song of the Sea,GK,17,3335,65845,2,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=songofthesea.htm
princesskaguya,The Tale of The Princess Kaguya,GK,80,3194,590399,11,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=princesskaguya.htm
pyramid,The Pyramid,Fox,31,2105,2706405,17,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=pyramid.htm
dearwhitepeople,Dear White People,RAtt.,80,1852,4376622,8,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=dearwhitepeople.htm
mommy,Mommy,RAtt.,108,1651,3308338,5,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=mommy.htm
goodlie,The Good Lie,WB,94,1129,2716989,16,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=goodlie.htm
hiroshimamonamour,Hiroshima Mon Amour (2014 re-release),Rialto,80,88,88300,1,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=hiroshimamonamour.htm
meetthemormons,Meet the Mormons,Purd.,87,48,6026669,11,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=meetthemormons.htm
